mint,sources,protocols,symbol,name,decimals,is_verified,pool_count,sample_pools
3nuKB1LaaQwZG9XXHj432oR3fsnuAH3MHfGY3QpZpump,pump_program_sell,pumpfun,,,6,false,2,BMDvTRcm4eDrjxPPmBBd8sjisuYLDbVYmds7pX23yrs1
3ocKLJKM2G8hxDUjCgjz8rhhMJw1fG1fbFtudHyDpump,pump_program_sell,pumpfun,,,6,false,1,Eo9KStnKBDi8HQhVfLquc4qZu7XN6Ng5ou5NQrurWA3R
3PBw2pLoqXr5W5dH2jyzkz7EZTq8Mv9Hke5ouTGtpump,pump_program_sell,pumpfun,,,6,false,1,CD5j14h33mZu9c8RetJyp8VjYkw85nZgx9G2pNRAsrHr
3Ppx5DbQ9fBkFf4steise4Ej9NW3Qay45KZ5YZxRpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,VND,Vietnam Coins Enthusiast,6,false,4,GqHZuWVxHxvH39yLUeY5NV6YU8Az4LS3Nu1adbS69YZG
3Sv7DMhZ2oLm8Y61wZB8kiQHFBCrTj4YgXbkvLMZpump,pump_program_sell,pumpfun,,,6,false,1,6Ljbeo1TcqEnwBzU6zptMwfctSD6QdvTDSNgHDR2Aruu
3Xu8Br69WNcfvecTqEW64cG58eC4bpf64fFZe4w835io,pump_program_buy|pump_program_sell,pumpfun,,,6,false,7,dDW1WGSriPGr2q62CKYWLs8m2LgUr6P3PEVnZWPvCHy
3YGanjaBvNrFx5Y2YVzHJfpcHTPQsxqdCo789RPYH19a,pump_program_sell,pumpfun,,,6,false,1,3kvNNihPXkmPKtV1hR1DGhnkabMtq8hDLrebfjMSA813
44AE7knMkprzeTpe9kbnDiomJF1dKrhdC9aV5X27F6fR,pump_program_create,pumpfun,DEJONG,Frenkie de Jong,6,false,1,3847nNLgXgajBxKhWnLRuoP3swtT2MJPKSNYhBazirwj
4aQhLHLHGX8boRQxCqEDDmdX1apV8grLftQVDb9fpump,pump_program_sell,pumpfun,,,6,false,1,BENCRZh7K5VkiLDaPfiRhSW3ZyxirydbxGi4ZRz3dL8T
4BSx5ucb826B1stvncjLhbmvV15itRQ5iiZsLBvspump,pump_program_sell,pumpfun,,,6,false,1,BYVmtEgDThfkLLYKP22pErkH4JtR1quQ766j3K4bXeYw
4CAYTifvwvB3C1EcUQaTxgxUXXNEYqfpJxbotuGkpump,pump_program_create_v2|pump_program_sell,pumpfun,ChatGPT,HexagonSaturn73,6,false,2,66M3RtY3r1FR4n7jdGekQfhvR4nVvrAABnetqjoG6Ukm
4cNyFUaGAsdQcovzfHSgfncCQHjdizs5VFaV1KfA1uyS,pump_program_buy,pumpfun,,,6,false,2,4tFev3eALn7P4cBYKC37JK3SStTxamdKtpa7pXaiWuQM
4CyTuynN4nva26UfbDh6bE6fQeNZqTuAtYSV6qevpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,ChatGPT,HexagonSaturn73,6,false,393,9nJDRVx4kUyTxkqpqcwwn1KiYcDgFiYhJLVe6GUsmPyi
4DbaSWS3jYHEmQQP2jGHLz2PMHrmzbWNZynM32YFpump,pump_program_buy,pumpfun,,,6,false,1,6ebTnFyQJvdSthVJdkgYyzw5aSSFm5c3C4BDumvQho3o
4dGrrfxbQ1gegiyZTkzBWx7FKk65hC5n3idengc7pump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,Aineko,Aineko,6,false,8,8ZvtEuUJJSz2VL194vv9DSvmK7xf61JAEcGFBGriLK9j
4eGnQugwauKQLtQtkWttsaxsyZMiFGatYMSn73oZpump,pump_program_sell,pumpfun,,,6,false,1,2KnH3Ew6t2rw62sdtiAf99HQQC14PqarvTStrkAYKa1o
4ELxSDrqPz7GP18o1D3SBZjU5aGHKcaaVsFnzUmBpump,pump_program_sell,pumpfun,,,6,false,1,EUftBDN15EUAHnSkztMoF8RwBpxX8zkncDadRNbxerYc
4fgGavkm9y2Ps5bncJNVw6uC5EaHRey6iFgPbrJJpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,USZILLA,TRUMP ZILLA,6,false,129,BoFHHjUH5WTmF4nkzM6wKSn8zvnAyN8fiLKBuguGvCLd
4G241eNE1CeLkk2rUQFHDd2btibnJPzRL7UKWLiHpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,176,2NZ34mfZbuvNg842RmQ28PYxeZQAt1DnbZ6RfJKnWVG6
4i75F8LbgiiS7nSYC5kT4nZhehJtafSHrj5HDX99pump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,3,5YnKM5YH3San8QhCQAmXmXPGa3HuZZYvMsLBHgCeN9EH
4iXyu4GnFeDK7wMNkgN1EBDZfgFceSFBkBXZ8a1wdDNj,pump_program_sell,pumpfun,,,6,false,1,2Ciz3jqfXt4CXj7yDHEP3DDmRjuH3nyqUQGHg1P8XvAR
4iZVXzWAoobjYAsFSMK7fnpqT1DB31Nj9oRtiiSKxqUB,pump_program_sell,pumpfun,,,6,false,1,5EL3seH1Qewc3ehxv7Mk1TAgxvrWiWahKyH7FgWezjNG
4Jv2ThE3i6aZQrUWnSgaGdx7chNYMoNpRu9m4Bcjpump,pumpportal_ws,pumpfun,GD01,GD01,0,,0,
4nQxJXbRAgYH6qemJ5WU4wJV3H7dLxmZ2s388q7jUToA,pump_program_buy|pump_program_sell,pumpfun,,,6,false,4,Am73BZJ3TRg6ymWefM3eHENXqZXgrnRPjAeB9GzSTyhH
4oJ2oY7rBVtrwHnN1iY65H5MkrSQ5zSxkKELKoLzpump,pump_program_sell,pumpfun,,,6,false,3,5mFXgFbutYLY1DpRamcGaNze7Sru7ufu1gkPAA3zPVzD
4PAmK3xXS4zZKpU2KjSKWxVA6SjmT6w7DtFi2kKjpump,pump_program_sell,pumpfun,,,6,false,1,HEY8AtgGhKJ6jWSTWmJQQgVxinxjgrvFBTJ113t4rcM3
4WU3m6TXCafQqxJGWkmvV6JD5A6FxVtNBEY55vtgpump,pump_program_sell,pumpfun,,,6,false,3,BphLxMGttqH5bhuv8uRMz8QQH47sG8jqbtDfFLvX3qc2
4WunLHWF15mejAmVUpx6ZJfwKRDmix6qKXNR8HkQpump,pumpportal_ws,pumpfun,BALL,BEST PLAYER OF WORLD CUP HELLO??,0,,0,
4XLRKLFQF5AfXRQujjK1J9pTKN6UHSuFxu4s32Jspump,pump_program_sell,pumpfun,,,6,false,1,8HKZbDWA1ived7ginwVFJsHGRbGjLNgNbYjmxQVoudHp
4xnji19y9cUa4qzx29twYowH29S5zQ5q8H6DW8oqHPp2,pumpportal_ws,pumpfun,KALLIK,Kallik,0,,0,
4Y4NcJwPDBEVTkqpGZ5siwtoxpGhe6eWgt4sjgTppump,pump_program_sell,pumpfun,,,6,false,1,2C2QDroaUQtHH2rn88WF7obbFyrjsTqm3h68KMi5726R
4YoDL3Gw2PbAAfWnckMVydPtje5WWmUH4ukf8Ks2pump,pump_program_sell,pumpfun,,,6,false,8,C3FzGnGXCXcTna64AXv37nUfZLZZjpQ9K5dKTFcNRXfy
4ZyK9aGCQWE7YYGVuyFqtjEQK75P2C2aedpcEpBepump,pump_program_buy|pump_program_create_v2,pumpfun,chinagirl,china girl,6,false,2,8vZGQq6g6wijfCoKWwcNVjQqmJCYzyn9mQR2AwVDBDWN
54xAQQCcHsxBakS5AYi3jYF6g1oakJf1Gbunrzk3pump,pump_program_sell,pumpfun,,,6,false,1,FoVgohoLWA15hWPzGkdXGyyyT5KeqPSWrrKGNy1jQmq7
55yPY5NcgksqUyBu17RgM55XP41qKeGeSwF6jXKPpump,pump_program_buy|pump_program_create_v2|pump_program_sell,pumpfun,MBAPPE,KYLIAN MBAPPE,6,false,17,D1SEKftYW4LrcEdqSsJvu7LqxGBN9QkYvB4m7yGd6WqV
5aVmQeKLav9YERHzRkV82KnR9ufm8KFaJ7Hn9CL8dK7q,pump_program_create,pumpfun,SIMONS,Xavi Simons,6,false,1,FarckEpf9t9uKeXMfXMWSp8SvyBBBPWN3YQMK9QyX54w
5d1d8iPtVZVsdPnPUU8i8jDSDqjyGLBzYaCBtjYYpump,pumpportal_ws,pumpfun,WCSTARS,THE NEXT WORLDCUP AT 30K HELLO??,0,,0,
5d7i6LaYdRBQWiN3T3WTjq7NYNR5ueftCbBgaAQpfy3,pump_program_create,pumpfun,MENDES,Nuno Mendes,6,false,1,BCGqAbU2m4niHmHgpEJWEeJUt2iCZVos4PgDSKePhcvM
5dABCru7pvVdUSD487hePLJ8tgehY7WproB9QkoNpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,42,FmKvv1AyWhn7x4QRVTY6T35s2ihrXYPi1zakuvSr91CR
5dGtBxkF5r8uVsHSrXUrMCqHMn1Xyo1V323CQmFC77Vx,pump_program_sell,pumpfun,,,6,false,1,9UeZvT3pTcJYD9PYrNKjEeM8CYXpdVD75r9hzoHHGRiX
5ggjZxZxYCqTj9FXCmqn8pHvzLAcCnZbDVwMaeCQCR5C,pump_program_sell,pumpfun,,,6,false,3,9kaeqpAJxL5Hxk6ug18Deqdsn7AxMuwNcfN6EQVj5T1
5hc4JKkBLqw5JgzQy18Y6GvqQXQwWU6ssRDQKe5jpump,pump_program_buy|pump_program_create_v2,pumpfun,CHINA,CHINA,6,false,2,Bgng9oDD2CWTroixEcwt5qshfPPAQk56RUjCP2Af8oGD
5HCVxhx9sbnbxZjUzNS9yyT7U3sVza2AxJjhed3epump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,2,7wJaV1c4KndZz7NdmkTNJc4dzeXpEQyFDbXNe88diTGh
5Hqdr9nc5ziSeJw57JVLVk2wCsZPpjKX94Dbzvhpump,pump_program_sell,pumpfun,,,6,false,1,8jvUnPHswRHqX1fmsQVccm2avm3hRget7diVs8Dm22wo
5hZB3pFzPLAsKWVRXMKb58Hn8Hn2WTYdqdsDnTXJpump,pump_program_sell,pumpfun,,,6,false,1,6xWPuHQg375SRKUqySxQPf97oH4vHGUgy2KoZui3p85r
5jGf4f2JCyGrpRfUC7G1MqP6SRh7LyrXfifktDVdEJra,pump_program_sell,pumpfun,,,6,false,2,BMJ15Aj3NcbBwgaP9fk3QL5obSg2UK99ZSmkYUaLt9VY
5JToWZ7GEP84FeAQ261Z34Q52srDbxxqZeHcKFGRZTvm,pump_program_sell,pumpfun,,,6,false,4,GLpfVtRtwaYdS3MZL87RVkF2HRe4jmbmXVYXWxXT4R2f
5K1J5pMBaS5LRddJLQ4bFCAcJUQGV1sMqoxWKjZjpump,pump_program_sell,pumpfun,,,6,false,1,5NCnnjZBPvN1gmNz9DYR5WwH4LS7UnkBzpZ4a312gYfJ
5Ki32r5dmkg5ReNtAyBCeNPNDER7wiUJErKAhYrkpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,19,ABpxq4b3djgBZ4DqsHr4p5qY2gKGW2KvpbcFu2w45gdY
5MBdLna9uXWqbmDE1GRKdX42CKbXFDYJvZ9ygNyRpump,pump_program_buy|pump_program_sell,pumpfun,,,6,false,26,3mJvVKkLWqWvkodC4RNPhKMKZs4eAfVL3vw5VXGonTQu
5mdCmSmQmmsPgvgttrhoi8p8QVuyjHbvXABhCFCApump,pump_program_buy,pumpfun,,,6,false,2,2kha1SXyQTywr7Ei6a3XwsvouX8nyEQEFKhUxzoXAv39
5n6WqgDQ2gyQT6Vf2MXMwrQrFFTorbrd3V58wHiQpump,pumpportal_ws,pumpfun,rrr,eaea,0,,0,
5oj7rZomTjknPy6q12F1W1aTd81ebekfQY9L2JnEpump,pump_program_sell,pumpfun,,,6,false,1,Bwwx9xYN9gc2WEc5MFvSjofnofSaabRj5rUZ656R9YJb
5PssigMcpd9TRBZwCBjZTXPsNECgfGH3kgEcwuTMpump,pumpportal_ws,pumpfun,PENGUIN,The Nietzschean Runner,0,,0,
5q5nsAS89nh2YwHPj4Qt9yznXiJ8goCbc2bWe6A5pump,pump_program_sell,pumpfun,,,6,false,1,AFkEL3znYBU1RpPJt9XfrmRNcadtqWJWjxeJ82Hgt8P1
5RoUMPWzqjg67kjcr5ZUwCbHkQD1iki2ghFYTRqdpump,pump_program_sell,pumpfun,,,6,false,1,3xSQizUGWy6YGc4KEMPcDUUZ7baHPibK5nfwRun43gUB
